127.0.0.1 - - [09/Feb/2021:09:09:18 +0100] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:09:30 +0100] "GET /TP_CAT/index.do HTTP/1.1" 200 1020
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:09:30 +0100] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:09:32 +0100] "GET /TP_CAT/chercher.do?motCle= HTTP/1.1" 200 5996
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:09:36 +0100] "GET /TP_CAT/Edit.do?id=1 HTTP/1.1" 200 1842
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:09:46 +0100] "POST /TP_CAT/UpdateProduit.do HTTP/1.1" 200 1076
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:09:48 +0100] "GET /TP_CAT/Saisie.do HTTP/1.1" 200 1547
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:09:49 +0100] "GET /TP_CAT/index.do HTTP/1.1" 200 1020
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:09:51 +0100] "GET /TP_CAT/chercher.do?motCle= HTTP/1.1" 200 5996
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:09:54 +0100] "GET /TP_CAT/chercher.do?motCle= HTTP/1.1" 200 5996
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:11:17 +0100] "GET /TP_CAT/chercher.do?motCle= HTTP/1.1" 200 5996
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:13:00 +0100] "GET /TP_CAT/chercher.do?motCle= HTTP/1.1" 200 5996
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:13:33 +0100] "GET /TP_CAT/chercher.do?motCle= HTTP/1.1" 200 5996
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:13:35 +0100] "GET /TP_CAT/chercher.do?motCle= HTTP/1.1" 200 5996
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:13:37 +0100] "GET /TP_CAT/chercher.do HTTP/1.1" 200 1020
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:13:41 +0100] "GET /TP_CAT/index.do HTTP/1.1" 200 1020
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:13:43 +0100] "GET /TP_CAT/chercher.do?motCle= HTTP/1.1" 200 5996
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:13:44 +0100] "GET /TP_CAT/Saisie.do HTTP/1.1" 200 1547
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:13:46 +0100] "GET /TP_CAT/index.do HTTP/1.1" 200 1020
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:13:48 +0100] "GET /TP_CAT/chercher.do?motCle= HTTP/1.1" 200 5996
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:13:54 +0100] "GET /TP_CAT/index.do HTTP/1.1" 200 1017
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:13:57 +0100] "GET /TP_CAT/Saisie.do HTTP/1.1" 200 1547
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:13:58 +0100] "GET /TP_CAT/Saisie.do HTTP/1.1" 200 1547
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:13:59 +0100] "GET /TP_CAT/index.do HTTP/1.1" 200 1017
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:14:01 +0100] "GET /TP_CAT/chercher.do?motCle= HTTP/1.1" 200 5993
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:14:03 +0100] "GET /TP_CAT/chercher.do?motCle= HTTP/1.1" 200 5993
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:14:06 +0100] "GET /TP_CAT/chercher.do HTTP/1.1" 200 1017
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:14:09 +0100] "GET /TP_CAT/chercher.do?motCle= HTTP/1.1" 200 5993
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:15:09 +0100] "GET /TP_CAT/chercher.do?motCle= HTTP/1.1" 200 5996
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:15:12 +0100] "GET /TP_CAT/Edit.do?id=1 HTTP/1.1" 200 1842
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:15:15 +0100] "POST /TP_CAT/UpdateProduit.do HTTP/1.1" 200 1045
0:0:0:0:0:0:0:1 - - [09/Feb/2021:09:15:19 +0100] "GET /TP_CAT/index.do HTTP/1.1" 200 1020
